id,rep_id,customer_id,activity_type,date,duration_minutes,subject,comment,sentiment,deal_id,follow_up_date,tags
ACT076,REP006,CUST016,Web会議,2026-01-28,45,新商品ラインナップ提案,株式会社名古屋テキスタイル近藤 裕也MD部長とオンライン打ち合わせ。5044-01 10.0オンス スウェットパンツの新規提案の詳細を確認。5044-01 10.0オンス スウェットパンツの刺繍・プリント加工の仕様を詳細確認。1週間以内にフォローアップ電話。,positive,DEAL041,2026-02-10,新規; スウェット
ACT091,REP007,,電話,2026-01-28,25,新規見込み客 追加発注確認,新規見込み客担当者より問い合わせ電話。5900-01 ドライアスレチックTシャツの現行品との比較テストを実施中。20000枚の見込み。GW明けに再度連絡。,neutral,,2026-02-07,新規; ドライ
ACT010,REP001,CUST027,訪問,2026-01-27,50,年間契約更新交渉,クリエイティブラボ東京松田 あゆみクリエイティブディレクターを訪問。追加発注の打ち合わせ。5044-01 10.0オンス スウェットパンツの提案を実施。予算確保が課題とのこと。見積り作成後に再訪問。,positive,DEAL002,2026-02-02,スウェット
ACT021,REP002,CUST025,電話,2026-01-27,20,価格改定の相談,関東学生陸上競技連盟久保田 修事務局次長に架電。在庫状況の確認と発注調整の確認。品質に満足いただけた。1週間以内にフォローアップ電話。,positive,DEAL008,,ヘビーウェイト
ACT063,REP005,CUST007,訪問,2026-01-27,75,新規案件ヒアリング,関西フードサービス株式会社吉田 裕子総務部課長を訪問し、5900-01 ドライアスレチックTシャツの新規提案について協議。5900-01 ドライアスレチックTシャツへの関心が高い。サンプルナチュラル・ブラックを送付予定。見積りは2000枚規模で依頼あり。1週間以内にフォローアップ電話。,negative,DEAL030,2026-02-04,サンプル; 新規; ドライ
ACT089,REP007,CUST030,メール,2026-01-27,30,岡山デニムストリート 定期フォロー,岡山デニムストリート武田 一郎店長宛に年間契約更新交渉のメールを送付。サンプル3色を来週送付予定。来週サンプル送付予定。,positive,DEAL047,2026-02-09,サンプル; 契約更新; ヘビーウェイト
ACT026,REP002,CUST006,電話,2026-01-24,20,新規案件ヒアリング,プリントスター株式会社松本 大地代表取締役に定期フォロー電話。5942-01 ドライアスレチックロングスリーブTシャツの新規提案。好感触で前向きな反応。次回は来月の定期訪問で進捗確認。,neutral,,2026-02-01,新規; 競合プリントスター; ドライ
ACT029,REP003,CUST003,訪問,2026-01-24,40,湘南スポーツクラブ 定期フォロー,湘南スポーツクラブ藤井 健太運営部長を訪問。年間契約の更新交渉。昨年度は5004-01 ポケット付きTシャツを中心に約2000枚の実績。今年度は10%増の見込み。価格据え置きで合意。上長承認後に正式提案。,neutral,DEAL018,2026-01-27,価格
ACT078,REP006,CUST009,メール,2026-01-24,40,京都織物工業株式会社 追加発注確認,京都織物工業株式会社井上 和夫商品企画部長にカタログ・サンプル(5029-01 ヘビーウェイトロングスリーブTシャツ スモーキーグリーン・ブラック)を送付完了。上長承認後に正式提案。,neutral,DEAL036,2026-02-05,サンプル; ヘビーウェイト
ACT044,REP004,CUST021,Web会議,2026-01-23,40,新潟県温泉旅館組合 追加発注確認,新潟県温泉旅館組合斎藤 正夫事務局長とオンライン打ち合わせ。在庫状況の確認と発注調整の詳細を確認。5900-01 ドライアスレチックTシャツの新色の追加を検討中。上長承認後に正式提案。,negative,,2026-02-05,ドライ
ACT094,REP008,CUST011,訪問,2026-01-22,20,年間契約更新交渉,九州スポーツアカデミー原田 大介アカデミー長を訪問し、来期の発注計画確認について協議。5001-01 ヘビーウェイトTシャツへの関心が高い。サンプルレッド・フォレストグリーンを送付予定。見積りは1000枚規模で依頼あり。1週間以内にフォローアップ電話。,positive,,2026-02-04,サンプル; ヘビーウェイト
ACT105,REP008,CUST029,訪問,2026-01-17,50,年間契約更新交渉,株式会社福岡ワーカーズ中島 大樹業務管理部長訪問。価格改定の協議。先方からは現行品との比較を希望。競合は不明が入っているとの情報。倉庫に在庫状況を確認して回答。,positive,DEAL056,2026-01-23,価格
ACT062,REP005,CUST028,電話,2026-01-15,15,神戸市スポーツ振興協会へのドライカノコポロシャツ提案,神戸市スポーツ振興協会遠藤 健次事業課長より電話。来期の発注計画確認について。刺繍・プリント加工の仕様を詳細確認。上長承認後に正式提案。,negative,,2026-01-27,ドライ; ポロシャツ
ACT097,REP008,CUST011,訪問,2026-01-15,120,新商品ラインナップ提案,九州スポーツアカデミー原田 大介アカデミー長を訪問。1520-01 キャンバストートバッグの新規提案。1520-01 キャンバストートバッグの提案を実施。好感触で前向きな反応。来月の定期訪問で進捗確認。,positive,,2026-01-27,新規
